id,date,user,pc,activity
{S7A7-Y8QZ65MW-8738SAZP},01/04/2010 07:12:31,DTAA/RES0962,PC-3736,Connect
{G7A8-G1OB94NR-3006NTXH},01/04/2010 07:35:40,DTAA/BJC0569,PC-2588,Connect
{R3L8-N0LW95FR-8358LLXS},01/04/2010 08:00:38,DTAA/EMZ0196,PC-1479,Connect
{I2F1-B5FB51FL-3128HBUL},01/04/2010 08:02:14,DTAA/ZKH0388,PC-1021,Connect
{P7R6-C5TV18CT-1677DWWM},01/04/2010 08:20:17,DTAA/RES0962,PC-3736,Disconnect
{K5Q6-F1AC50QP-3788PDUC},01/04/2010 08:23:17,DTAA/CVW0133,PC-0282,Connect
{M0F6-O2FY64UM-9526UMPP},01/04/2010 08:29:40,DTAA/RQH0770,PC-4225,Connect
{F5H8-O7QK60SE-4347ESVI},01/04/2010 08:30:09,DTAA/AQG0678,PC-1127,Connect
{C2M6-A5GC40PF-4088NJRX},01/04/2010 08:35:46,DTAA/OJH0425,PC-1730,Connect
{L3M7-Z9BL18KF-1387XAMK},01/04/2010 08:47:44,DTAA/WDW0485,PC-3096,Connect
{A8I5-F8FO49AQ-4726BXKP},01/04/2010 08:48:08,DTAA/SDC0032,PC-3081,Connect
{R1I2-X4AG89EH-2412NNLL},01/04/2010 08:50:45,DTAA/RME0699,PC-2049,Connect
{R3C4-B1YX79FG-7714SQSG},01/04/2010 08:59:28,DTAA/IRC0991,PC-1118,Connect
{Z1J6-D5XS29NX-0162ZKAY},01/04/2010 09:00:45,DTAA/CPP0761,PC-2665,Connect
{N3H6-P6MN12KM-3372QANC},01/04/2010 09:06:28,DTAA/MCM0346,PC-2974,Connect
{G7U6-E1JC41II-0811ZBMF},01/04/2010 09:08:03,DTAA/DAV0579,PC-1701,Connect
{A2E1-R2KS86KQ-5486MARC},01/04/2010 09:13:53,DTAA/BNW0850,PC-2260,Connect
{O2W8-X6QZ35YC-1006TYAF},01/04/2010 09:14:38,DTAA/MVW0630,PC-2005,Connect
{U8U5-J0MM57ZW-0338DHKH},01/04/2010 09:17:59,DTAA/BAF0379,PC-3645,Connect
{C3N2-R5RV93VP-1177BSIS},01/04/2010 09:23:35,DTAA/AQG0678,PC-1127,Disconnect
{T2B1-F7IG00PL-6808WVFW},01/04/2010 09:35:19,DTAA/ABB0272,PC-0726,Connect
{C5K8-X7JE47CG-4946ZQLL},01/04/2010 09:38:34,DTAA/JZO0727,PC-2134,Connect
{D8K8-U5MV93NZ-5230VQGR},01/04/2010 09:39:38,DTAA/GNH0394,PC-2161,Connect
{W9A3-T7UH38GU-9008UGDF},01/04/2010 09:41:48,DTAA/SDC0032,PC-3081,Disconnect
{T4T2-P5DU98YI-3944INJX},01/04/2010 09:54:41,DTAA/RME0699,PC-2049,Disconnect
{F4V0-C1JY57KM-4456VWLD},01/04/2010 09:59:29,DTAA/MVW0630,PC-2005,Disconnect
{Z4Z8-V1WH61QC-4952SEMB},01/04/2010 10:00:04,DTAA/QKR0651,PC-4881,Connect
{H0Y7-T3MP38OO-7150YEPM},01/04/2010 10:04:04,DTAA/MIK0034,PC-0845,Connect
{I3U1-F7XR11HT-3968TSLS},01/04/2010 10:12:17,DTAA/SOM0478,PC-3348,Connect
{X9B7-E5WE00TI-6386EKUG},01/04/2010 10:17:16,DTAA/BAF0379,PC-3645,Disconnect
{C6K6-N7MO45KF-6878TTQM},01/04/2010 10:40:34,DTAA/CVW0133,PC-0282,Disconnect
{K4G2-W0DL56OV-8971UYVR},01/04/2010 10:45:23,DTAA/MQL0135,PC-4656,Connect
{P9M0-P7QR63FE-6901WOMG},01/04/2010 10:46:22,DTAA/PIP0746,PC-0416,Connect
{W3A6-J9DX69PL-9728DUZZ},01/04/2010 10:50:01,DTAA/CHA0174,PC-2751,Connect
{U1P5-V5YK40CX-2773ASZT},01/04/2010 10:50:20,DTAA/ELA0741,PC-1751,Connect
{H4A4-D0SI78DP-2779PPMB},01/04/2010 10:50:32,DTAA/AIB0797,PC-4147,Connect
{N0F2-O6ST15FU-5309BSSO},01/04/2010 10:54:02,DTAA/QKR0651,PC-4881,Disconnect
{A7P1-O0IY44NE-5771HWRR},01/04/2010 10:56:16,DTAA/HBL0517,PC-1343,Connect
{E8G8-P6KW75CZ-3436WBBF},01/04/2010 10:56:28,DTAA/JCS0873,PC-1560,Connect
{S9A9-O9ET92GT-5933VSWZ},01/04/2010 10:56:58,DTAA/HBL0517,PC-1343,Disconnect
{O3H9-P9AG29PU-1775YSXJ},01/04/2010 10:57:47,DTAA/RBC0879,PC-1261,Connect
{K9N2-Q2OH86NM-9088NJDK},01/04/2010 11:00:31,DTAA/AFN0918,PC-3425,Connect
{I1V2-O7KB65VH-2027ZGLT},01/04/2010 11:02:31,DTAA/AZC0030,PC-4724,Connect
{B9U9-V9QF50KQ-5765DWBW},01/04/2010 11:03:16,DTAA/SCW0707,PC-1217,Connect
{U0E7-E0SZ93LD-8215JHEE},01/04/2010 11:05:30,DTAA/GNH0394,PC-2161,Disconnect
{A9Z3-X2ZT77RA-1517QBMP},01/04/2010 11:12:44,DTAA/MQL0135,PC-4656,Disconnect
{Y7B7-J6GU90YB-2936YMII},01/04/2010 11:13:12,DTAA/AFR0646,PC-0323,Connect
{Y8O8-P1RA06MR-0066EEJZ},01/04/2010 11:15:48,DTAA/VFP0669,PC-1717,Connect
{M4V7-Z8YX65GN-5137NDIL},01/04/2010 11:18:54,DTAA/BJC0569,PC-2588,Disconnect
{Z0H5-E7IA80CY-0824YVRG},01/04/2010 11:20:35,DTAA/SLC0778,PC-3199,Connect
{H8E8-F0AV41YH-6569KKXF},01/04/2010 11:40:47,DTAA/KSB0673,PC-0847,Connect
{F0S2-W3JE09YB-7989DUED},01/04/2010 11:42:44,DTAA/PXB0069,PC-1972,Connect
{F6S1-U7UM12WM-6110LIAE},01/04/2010 11:46:41,DTAA/MMH0612,PC-2886,Connect
{Q9C9-G7OC47FS-6846BISV},01/04/2010 11:46:51,DTAA/OYR0801,PC-0088,Connect
{E5T2-G7FT57UL-2548ODTA},01/04/2010 11:59:36,DTAA/JLM0053,PC-1334,Connect
{D3V3-E9KB08PY-8139HJVD},01/04/2010 12:09:29,DTAA/ELA0741,PC-1751,Disconnect
{P7F4-V5EH64FK-6156VVDC},01/04/2010 12:09:58,DTAA/CGM0343,PC-3039,Connect
{I6P5-V6KN90BF-2902IZTV},01/04/2010 12:13:18,DTAA/AFN0918,PC-3425,Disconnect
{L1B0-Q3JG26TC-5647YUEI},01/04/2010 12:14:17,DTAA/HNF0812,PC-4760,Connect
{X8S5-L7MF30BE-1136TWWK},01/04/2010 12:15:21,DTAA/BGF0236,PC-1848,Connect
{R9L5-O0QO02MW-3582FLNN},01/04/2010 12:17:00,DTAA/MMH0612,PC-2886,Disconnect
{B7X3-W1XM86CY-6329GABR},01/04/2010 12:17:31,DTAA/NNB0443,PC-4625,Connect
{B6D5-G1UV49WD-7087YELU},01/04/2010 12:18:38,DTAA/MIK0034,PC-0845,Disconnect
{Y4P6-G7NV12NO-6377LAYE},01/04/2010 12:20:03,DTAA/PSP0555,PC-0017,Connect
{Z2E8-N5XW71ZP-5705MICU},01/04/2010 12:31:06,DTAA/EDH0146,PC-3973,Connect
{D4F1-Z9ZW95TR-1171YYKI},01/04/2010 12:32:00,DTAA/SCW0707,PC-1217,Disconnect
{F1O4-B8NQ96QF-5477GTEL},01/04/2010 12:40:22,DTAA/TAO0639,PC-2198,Connect
{Z4C4-U3FS09EM-1886CJEF},01/04/2010 12:40:33,DTAA/MMF0289,PC-1734,Connect
{G6B2-B9TM00BP-4277KZNE},01/04/2010 12:43:56,DTAA/JJR0278,PC-1005,Connect
{V9X0-J5MZ92NE-5410EUMO},01/04/2010 12:50:50,DTAA/SJH0588,PC-2512,Connect
{S7N1-G0RY04PM-2530REQD},01/04/2010 12:58:59,DTAA/HCG0731,PC-4643,Connect
{T8O2-L9OB10MJ-4206MSJV},01/04/2010 12:59:17,DTAA/MAG0290,PC-4646,Connect
{W9S1-C1OD80XP-4703LFGM},01/04/2010 13:01:51,DTAA/PUH0847,PC-2550,Connect
{A3U7-T3JL71JL-8140AANL},01/04/2010 13:02:31,DTAA/CHA0174,PC-2751,Disconnect
{N6W5-D1BI38CO-6294MPGQ},01/04/2010 13:03:28,DTAA/HDR0261,PC-2506,Connect
{Z4K3-Z6JY07GN-0671CKMX},01/04/2010 13:05:47,DTAA/HCG0731,PC-4643,Disconnect
{M2A3-T3OT43ID-1258HLFJ},01/04/2010 13:07:03,DTAA/JCS0873,PC-1560,Disconnect
{Z3E0-F7TY30HF-8916ZBHZ},01/04/2010 13:13:32,DTAA/ODW0839,PC-1940,Connect
{I0J8-Z4ST81AS-8933MOBK},01/04/2010 13:14:46,DTAA/HNF0812,PC-4760,Disconnect
{D1G8-T1IT42OE-5175XFJY},01/04/2010 13:15:55,DTAA/TLB0017,PC-0053,Connect
{R4B7-M6RQ54UM-7055JKLS},01/04/2010 13:23:56,DTAA/COS0121,PC-0462,Connect
{I7I2-B3JN53XM-2048AKVP},01/04/2010 13:24:39,DTAA/XQW0354,PC-4067,Connect
{M2S7-G1ZG91KR-1111TUIF},01/04/2010 13:27:17,DTAA/JLM0053,PC-1334,Disconnect
{E8J5-E5SK57FQ-0460VZMX},01/04/2010 13:28:41,DTAA/PUH0847,PC-2550,Disconnect
{T8Y0-D5OH88DC-0513IESJ},01/04/2010 13:29:17,DTAA/XQW0354,PC-4067,Disconnect
{V3R2-C3LN15JJ-7462VYUL},01/04/2010 13:31:18,DTAA/SPK0818,PC-1938,Connect
{Z9F5-G8FJ57DV-8767JDUD},01/04/2010 13:37:26,DTAA/HSD0519,PC-2047,Connect
{U6P0-W1MV66ZX-9801OSFI},01/04/2010 13:44:10,DTAA/NNB0443,PC-4625,Disconnect
{Y7Y5-T1NT75ZW-2071FXHT},01/04/2010 13:46:20,DTAA/HSD0519,PC-2047,Disconnect
{E3L9-O1VW04YP-5829MXSM},01/04/2010 13:48:56,DTAA/MJM0469,PC-1592,Connect
{K5Y3-J6JA26KL-7175BEOJ},01/04/2010 13:51:29,DTAA/AZC0030,PC-4724,Disconnect
{D7L7-V8BG36DI-4639WLBT},01/04/2010 13:51:42,DTAA/TNB0740,PC-2015,Connect
{Y8Z3-U7MM64SR-1595SQVK},01/04/2010 13:54:29,DTAA/ESB0080,PC-2529,Connect
{P2C4-Q9QD38DE-1323HJSB},01/04/2010 13:58:10,DTAA/DAV0579,PC-1701,Disconnect
{Q7I1-E7JC47AT-3496UVQC},01/04/2010 14:04:51,DTAA/SOM0478,PC-3348,Disconnect
{U3C3-X2TS27NY-4511VQNR},01/04/2010 14:05:03,DTAA/IRC0991,PC-1118,Disconnect
{C2X0-B6LK36KT-6315IOTZ},01/04/2010 14:05:31,DTAA/AFR0646,PC-0323,Disconnect
{K7H9-A4ES86VL-8807LFXM},01/04/2010 14:09:28,DTAA/TLB0017,PC-0053,Disconnect
{U8G9-G7JR94TJ-4795KJMI},01/04/2010 14:10:10,DTAA/MJM0469,PC-1592,Disconnect
{V6H4-Q6UU96HQ-7350KTSP},01/04/2010 14:10:47,DTAA/SLC0778,PC-3199,Disconnect
{V3V3-M4FS79RM-3426KZQI},01/04/2010 14:12:58,DTAA/LCK0666,PC-3245,Connect
{R4U1-A6AU80YD-0553FDBM},01/04/2010 14:13:08,DTAA/MAG0290,PC-4646,Disconnect
{P9T6-B7US97EH-1117ZSUA},01/04/2010 14:18:00,DTAA/CSC0297,PC-2848,Connect
{T8N8-I8EM37JG-2361EXLI},01/04/2010 14:19:39,DTAA/RQH0770,PC-4225,Disconnect
{V1F1-R4GN79KQ-7853TJMW},01/04/2010 14:22:36,DTAA/EDH0146,PC-3973,Disconnect
{J6Y3-V8VG15MF-5991TRRZ},01/04/2010 14:25:23,DTAA/AJA0220,PC-3872,Connect
{E3L8-W5PV03GT-9808QJPD},01/04/2010 14:33:44,DTAA/KSB0673,PC-0847,Disconnect
{Q4A3-E7FL90PL-7980GTAH},01/04/2010 14:36:54,DTAA/RXE0207,PC-0650,Connect
{S4P9-H4HU00DJ-3384IRRK},01/04/2010 14:40:00,DTAA/SJH0588,PC-2512,Disconnect
{M4N7-I5FH88XL-4521OECF},01/04/2010 14:40:08,DTAA/ZKH0388,PC-1021,Disconnect
{Y3N8-G7MN22AB-9997GIHO},01/04/2010 14:47:53,DTAA/TNB0740,PC-2015,Disconnect
{Y2Y9-H6YZ73SP-5384AUFW},01/04/2010 14:48:27,DTAA/RCW0436,PC-3171,Connect
{S6E3-B8IJ51MQ-6628FYTL},01/04/2010 14:48:57,DTAA/MXM0838,PC-4983,Connect
{F2J2-Z1ND19JN-0058ZCFU},01/04/2010 14:53:16,DTAA/ODW0839,PC-1940,Disconnect
